click_id,search_id,item_id,position,click_ts
1,378,3577,12,2026-01-30 16:37:06.406700
2,5116,1365,36,2026-01-30 16:37:34.968684
3,11164,3904,28,2026-01-30 16:43:31.285411
4,18761,5689,46,2026-01-30 16:39:08.038263
5,19732,6852,17,2026-01-30 16:39:38.987493
6,1798,665,17,2026-01-30 16:43:06.892193
7,890,633,43,2026-01-30 16:45:55.787666
8,14032,2549,1,2026-01-30 16:43:31.273777
9,9712,4988,26,2026-01-30 16:37:07.814440
10,1560,1862,29,2026-01-30 16:37:06.497764
11,18494,4198,5,2026-01-30 16:45:31.319137
12,915,4760,19,2026-01-30 16:39:00.058393
13,6358,3425,23,2026-01-30 16:44:48.360791
14,19663,1382,40,2026-01-30 16:37:04.067553
15,3541,2049,15,2026-01-30 16:44:31.197918
16,9067,3423,35,2026-01-30 16:43:13.421337
17,15139,7886,25,2026-01-30 16:38:25.663446
18,19881,6925,30,2026-01-30 16:41:37.360822
19,2020,7181,42,2026-01-30 16:37:38.503714
20,17770,3124,31,2026-01-30 16:38:16.661219
21,16271,423,20,2026-01-30 16:41:34.339982
22,18171,7539,27,2026-01-30 16:42:08.896829
23,8160,6132,29,2026-01-30 16:39:54.823917
24,10656,462,26,2026-01-30 16:42:20.612191
25,16128,2559,35,2026-01-30 16:36:09.632843
26,4055,6026,3,2026-01-30 16:34:50.692484
27,9854,6828,13,2026-01-30 16:39:45.915301
28,13921,3804,25,2026-01-30 16:39:54.732939
29,19339,5923,47,2026-01-30 16:39:17.274500
30,10281,4439,14,2026-01-30 16:43:57.464414
31,9383,5183,19,2026-01-30 16:36:26.109072
32,1941,1022,40,2026-01-30 16:34:56.593286
33,4217,5142,28,2026-01-30 16:43:22.166951
34,10634,1917,36,2026-01-30 16:37:23.042471
35,2078,3528,8,2026-01-30 16:40:24.020692
36,10384,7550,46,2026-01-30 16:37:04.290682
37,10264,6262,15,2026-01-30 16:40:48.466897
38,9703,1215,10,2026-01-30 16:46:02.214255
39,14253,2623,42,2026-01-30 16:34:47.663392
40,17406,7294,38,2026-01-30 16:44:07.155386
41,16153,5122,30,2026-01-30 16:42:47.358174
42,10576,3330,13,2026-01-30 16:43:17.101313
43,19572,6266,43,2026-01-30 16:38:13.237296
44,446,3757,33,2026-01-30 16:40:36.841723
45,3262,7167,47,2026-01-30 16:43:55.077796
46,18241,6747,17,2026-01-30 16:37:50.977999
47,5376,3660,14,2026-01-30 16:45:57.095486
48,195,162,48,2026-01-30 16:40:20.284847
49,12624,4661,12,2026-01-30 16:40:56.980806
50,827,4405,41,2026-01-30 16:40:23.620440
51,15680,3161,25,2026-01-30 16:46:20.036329
52,816,6367,30,2026-01-30 16:40:45.791805
53,13242,740,23,2026-01-30 16:40:01.867643
54,3499,2397,43,2026-01-30 16:42:51.764982
55,2105,295,16,2026-01-30 16:44:04.233366
56,8215,6545,41,2026-01-30 16:35:41.048857
57,454,681,14,2026-01-30 16:35:12.063622
58,19031,2336,29,2026-01-30 16:34:31.809080
59,5988,3898,30,2026-01-30 16:42:09.434597
60,4993,2676,8,2026-01-30 16:38:28.227541
61,19549,5689,47,2026-01-30 16:43:57.129467
62,3551,4596,15,2026-01-30 16:37:51.734962
63,8503,3181,37,2026-01-30 16:35:15.123057
64,351,1801,27,2026-01-30 16:36:04.469762
65,17801,1119,42,2026-01-30 16:35:14.131230
66,16604,5077,24,2026-01-30 16:37:09.930062
67,1224,3589,4,2026-01-30 16:42:00.247984
68,831,1596,23,2026-01-30 16:41:05.076219
69,19591,1716,11,2026-01-30 16:40:41.751401
70,15515,6616,30,2026-01-30 16:45:34.504175
71,6410,5925,27,2026-01-30 16:34:25.858267
72,16966,6421,41,2026-01-30 16:46:00.643204
73,9723,6718,18,2026-01-30 16:37:25.163637
74,18249,2190,18,2026-01-30 16:44:16.069045
75,18921,6630,48,2026-01-30 16:44:27.773810
76,14888,5397,28,2026-01-30 16:45:56.694476
77,17682,5095,37,2026-01-30 16:38:19.733386
78,2320,3895,44,2026-01-30 16:46:16.785231
79,4449,2822,34,2026-01-30 16:38:01.070024
80,16041,2214,26,2026-01-30 16:38:33.081641
81,17454,6544,12,2026-01-30 16:40:22.253809
82,12824,3276,10,2026-01-30 16:35:48.014367
83,5284,5408,38,2026-01-30 16:36:46.131105
84,11378,7230,17,2026-01-30 16:43:37.849750
85,15225,1918,44,2026-01-30 16:45:41.282006
86,6416,3604,43,2026-01-30 16:38:33.667629
87,6446,948,27,2026-01-30 16:37:18.941954
88,12437,2722,37,2026-01-30 16:40:12.501940
89,16711,5935,23,2026-01-30 16:35:12.624125
90,1024,5310,8,2026-01-30 16:40:59.192523
91,9884,465,15,2026-01-30 16:37:14.758373
92,2111,317,44,2026-01-30 16:40:53.635131
93,13386,3014,23,2026-01-30 16:41:44.753676
94,11844,5084,17,2026-01-30 16:35:21.399095
95,8752,565,9,2026-01-30 16:43:41.716584
96,13014,4196,26,2026-01-30 16:44:10.757428
97,19725,6958,36,2026-01-30 16:46:20.602916
98,7075,1322,31,2026-01-30 16:45:24.560856
99,10957,3750,46,2026-01-30 16:39:21.094305
100,2483,1019,28,2026-01-30 16:37:38.258643
101,4321,5179,15,2026-01-30 16:44:06.149134
102,177,2924,39,2026-01-30 16:45:30.575639
103,13797,5440,37,2026-01-30 16:35:49.341889
104,8557,3007,18,2026-01-30 16:46:20.262439
105,14702,891,22,2026-01-30 16:37:40.875513
106,15021,5938,18,2026-01-30 16:40:18.429570
107,1155,5436,49,2026-01-30 16:36:40.278486
108,17082,2953,28,2026-01-30 16:35:05.344585
109,16692,4342,23,2026-01-30 16:40:00.665568
110,9429,54,26,2026-01-30 16:39:19.095625
111,6124,4047,10,2026-01-30 16:35:11.303841
112,17679,629,5,2026-01-30 16:34:59.744162
113,15101,7816,31,2026-01-30 16:40:19.393686
114,2710,7613,23,2026-01-30 16:43:16.635181
115,13917,7546,35,2026-01-30 16:45:47.774430
116,19478,7857,28,2026-01-30 16:35:04.627946
117,9061,317,14,2026-01-30 16:41:27.949603
118,13861,4045,9,2026-01-30 16:43:33.844912
119,1347,4667,26,2026-01-30 16:35:31.235271
120,2292,2777,39,2026-01-30 16:40:16.344397
121,4113,5691,9,2026-01-30 16:39:10.602416
122,9683,7897,14,2026-01-30 16:45:25.115950
123,9795,3442,19,2026-01-30 16:42:22.248997
124,16442,1732,49,2026-01-30 16:37:27.197161
125,9248,3839,5,2026-01-30 16:46:42.924761
126,4292,5937,11,2026-01-30 16:46:28.156786
127,14619,879,2,2026-01-30 16:35:39.633542
128,13590,4355,24,2026-01-30 16:44:27.863324
129,19063,4127,8,2026-01-30 16:37:13.181857
130,11460,6243,41,2026-01-30 16:39:12.627958
131,18488,102,4,2026-01-30 16:45:30.536926
132,8690,4804,33,2026-01-30 16:46:45.423139
