impression_id,search_id,item_id,position,timestamp
1,13180,5158,4,2026-01-30 16:40:10.132361
2,5204,2563,9,2026-01-30 16:36:02.127090
3,14599,527,16,2026-01-30 16:37:12.403225
4,7494,6350,23,2026-01-30 16:37:41.091147
5,18543,236,3,2026-01-30 16:41:32.401955
6,17418,4905,41,2026-01-30 16:38:23.865629
7,3755,2223,32,2026-01-30 16:37:28.365134
8,10784,4764,13,2026-01-30 16:39:13.978631
9,10808,7295,5,2026-01-30 16:37:37.129723
10,8671,5950,15,2026-01-30 16:39:54.911596
11,12988,3038,20,2026-01-30 16:36:20.135076
12,16819,7562,32,2026-01-30 16:37:46.633328
13,19151,4698,40,2026-01-30 16:45:52.882505
14,11431,6139,35,2026-01-30 16:36:59.827128
15,7680,6251,5,2026-01-30 16:35:44.893725
16,653,3702,6,2026-01-30 16:35:50.150085
17,890,57,4,2026-01-30 16:45:55.787666
18,11920,6719,16,2026-01-30 16:44:08.428053
19,12965,4138,33,2026-01-30 16:39:01.657095
20,6161,6955,30,2026-01-30 16:39:37.113495
21,8329,5308,16,2026-01-30 16:45:47.919685
22,6307,4715,1,2026-01-30 16:38:56.601045
23,18477,5561,1,2026-01-30 16:43:23.526595
24,15112,1933,8,2026-01-30 16:42:45.168407
25,4706,4473,13,2026-01-30 16:40:46.791482
26,19432,7823,7,2026-01-30 16:36:48.988368
27,11073,728,49,2026-01-30 16:41:49.027396
28,5038,3586,31,2026-01-30 16:36:50.988970
29,3792,6878,20,2026-01-30 16:35:23.331953
30,13740,5198,12,2026-01-30 16:34:55.888485
31,18450,79,7,2026-01-30 16:41:15.614183
32,6176,7310,6,2026-01-30 16:36:44.512522
33,4332,7474,5,2026-01-30 16:46:36.119833
34,5319,4333,5,2026-01-30 16:39:10.750715
35,4607,7745,3,2026-01-30 16:34:51.921677
36,9248,4676,28,2026-01-30 16:46:08.924761
37,12420,2277,2,2026-01-30 16:41:57.494369
38,14409,6827,40,2026-01-30 16:46:24.350490
39,1865,3013,27,2026-01-30 16:40:33.317349
40,17101,3202,19,2026-01-30 16:37:25.456151
41,18982,5105,30,2026-01-30 16:37:00.046934
42,15887,7348,47,2026-01-30 16:38:46.020637
43,14607,4719,38,2026-01-30 16:40:58.424210
44,14991,5177,45,2026-01-30 16:40:59.627959
45,10939,451,2,2026-01-30 16:45:53.238397
46,2574,534,45,2026-01-30 16:39:52.427702
47,17803,6352,6,2026-01-30 16:43:01.523230
48,6184,654,8,2026-01-30 16:34:41.702193
49,17125,5879,42,2026-01-30 16:39:21.624227
50,7383,2955,39,2026-01-30 16:44:20.089932
51,16747,1946,22,2026-01-30 16:36:09.280202
52,15462,132,49,2026-01-30 16:39:36.871939
53,18310,1069,30,2026-01-30 16:38:53.938333
54,7717,5631,20,2026-01-30 16:41:55.195084
55,11641,1607,1,2026-01-30 16:36:14.800096
56,10334,3970,49,2026-01-30 16:36:53.521978
57,14931,5960,16,2026-01-30 16:37:09.792830
58,17864,744,14,2026-01-30 16:40:14.454613
59,17530,787,1,2026-01-30 16:37:52.445754
60,2410,6437,8,2026-01-30 16:38:21.809132
61,12740,3023,31,2026-01-30 16:36:29.901907
62,15376,4559,25,2026-01-30 16:37:33.130074
63,7785,4165,15,2026-01-30 16:42:11.050656
64,442,705,43,2026-01-30 16:46:31.091128
65,10267,3491,18,2026-01-30 16:40:54.979919
66,6455,4612,6,2026-01-30 16:45:53.986754
67,12357,904,38,2026-01-30 16:45:07.077402
68,15059,3741,15,2026-01-30 16:46:16.556753
69,7190,3075,24,2026-01-30 16:38:00.790890
70,10510,207,8,2026-01-30 16:39:43.620536
71,6928,2503,29,2026-01-30 16:43:49.974712
72,1318,4731,35,2026-01-30 16:45:57.939404
73,17124,7503,43,2026-01-30 16:36:29.178294
74,15580,2706,16,2026-01-30 16:41:42.549515
75,17733,6245,14,2026-01-30 16:38:26.505450
76,3004,7044,30,2026-01-30 16:40:49.134409
77,11602,6721,33,2026-01-30 16:44:35.108062
78,12106,4236,27,2026-01-30 16:40:12.830646
79,14193,4499,33,2026-01-30 16:46:26.313762
80,13972,7709,14,2026-01-30 16:37:27.095963
81,46,2789,20,2026-01-30 16:34:22.807472
82,14983,6813,30,2026-01-30 16:39:48.237761
83,5492,1755,1,2026-01-30 16:38:28.833147
84,9707,6319,41,2026-01-30 16:42:25.484674
85,3738,5176,42,2026-01-30 16:40:12.110385
86,8288,3019,5,2026-01-30 16:39:48.622638
87,4284,544,23,2026-01-30 16:40:52.364324
88,14788,1300,9,2026-01-30 16:45:28.363872
89,8090,1473,11,2026-01-30 16:38:30.250196
90,15215,4654,24,2026-01-30 16:36:11.699462
91,13133,2235,39,2026-01-30 16:39:13.594157
92,1122,7919,10,2026-01-30 16:36:45.947839
93,15336,2415,34,2026-01-30 16:34:30.403961
94,9382,1612,31,2026-01-30 16:39:26.807440
95,13032,4949,46,2026-01-30 16:37:59.451734
96,11367,5886,19,2026-01-30 16:37:18.258839
97,10969,6946,12,2026-01-30 16:43:07.994734
98,12331,4163,35,2026-01-30 16:45:21.078789
99,4946,7523,49,2026-01-30 16:40:31.872694
100,12031,7402,28,2026-01-30 16:35:32.294356
101,13365,2914,34,2026-01-30 16:36:04.045181
102,11622,6894,40,2026-01-30 16:41:32.671122
103,1727,7377,18,2026-01-30 16:40:09.539116
104,5276,4594,8,2026-01-30 16:41:30.887428
