item_id,seller_id,title,category,price,created_ts,status
1,861,Slip-On Canvas Shoes,Shoes,40.77,2026-01-30 17:01:05.580942,sold
2,3093,Trail Hiking Shoes,Shoes,35.42,2026-01-30 16:50:02.011616,active
3,4427,Glass Storage Jar,Home,94.55,2026-01-30 16:54:32.031664,active
4,2920,Leather Belt,Accessories,143.07,2026-01-30 16:53:36.067597,active
5,770,Gold Hoop Earrings,Accessories,145.79,2026-01-30 17:02:50.388911,sold
6,2434,Laptop Stand,Electronics,40.46,2026-01-30 17:01:45.835446,active
7,4556,Leather Boots,Shoes,124.27,2026-01-30 17:05:38.553933,active
8,2905,Ceramic Vase,Home,61.79,2026-01-30 16:51:08.893939,active
9,2048,Leather Belt,Accessories,61.97,2026-01-30 16:57:10.675565,active
10,190,Heeled Sandals,Shoes,22.67,2026-01-30 16:50:07.180997,active
11,1900,Vintage Denim Jacket,Clothing,105.28,2026-01-30 16:53:31.129013,active
12,3203,Minimalist Wallet,Accessories,172.69,2026-01-30 16:58:40.783711,active
13,2889,Laptop Stand,Electronics,17.69,2026-01-30 16:50:03.658847,sold
14,2364,Laptop Stand,Electronics,114.84,2026-01-30 16:53:09.744663,active
15,2613,Wall Art Print,Home,50.02,2026-01-30 17:01:16.875193,active
16,1479,Portable Speaker,Electronics,123.95,2026-01-30 16:59:23.536799,sold
17,35,Heeled Sandals,Shoes,182.32,2026-01-30 16:53:33.075872,active
18,3944,Corduroy Pants,Clothing,152.3,2026-01-30 17:00:11.406939,active
19,2614,Heeled Sandals,Shoes,111.61,2026-01-30 17:04:09.184893,active
20,4799,Wool Winter Coat,Clothing,169.25,2026-01-30 16:49:42.018661,active
21,4298,Canvas Tote Bag,Accessories,179.49,2026-01-30 17:04:05.284792,active
22,4912,Corduroy Pants,Clothing,68.68,2026-01-30 17:02:08.990547,active
23,1276,Leather Boots,Shoes,13.82,2026-01-30 16:55:42.470558,active
24,338,Platform Sneakers,Shoes,110.24,2026-01-30 16:52:22.917860,active
25,4860,Floral Summer Dress,Clothing,123.37,2026-01-30 17:06:48.790118,active
26,2063,Sunglasses,Accessories,37.23,2026-01-30 16:55:38.522109,active
27,2569,Heeled Sandals,Shoes,155.59,2026-01-30 16:51:15.165511,active
28,1496,Throw Blanket,Home,7.75,2026-01-30 16:51:19.453687,active
