event_id,user_id,event_type,timestamp
1,2294,churn,2026-01-30 16:35:50.088241
2,4124,activation,2026-01-30 16:40:38.222460
3,1125,reactivation,2026-01-30 16:42:03.749970
4,4226,churn,2026-01-30 16:44:17.302216
5,2841,churn,2026-01-30 16:37:40.460611
6,350,activation,2026-01-30 16:44:56.654759
7,2933,activation,2026-01-30 16:35:10.033357
8,1995,activation,2026-01-30 16:36:16.486331
9,555,reactivation,2026-01-30 16:40:18.171537
10,792,reactivation,2026-01-30 16:41:16.244941
11,2919,activation,2026-01-30 16:42:08.957704
12,1847,reactivation,2026-01-30 16:38:12.218391
13,4886,reactivation,2026-01-30 16:37:53.755336
14,388,activation,2026-01-30 16:45:20.847288
15,3211,reactivation,2026-01-30 16:35:52.837080
16,3855,churn,2026-01-30 16:45:12.873305
17,4242,churn,2026-01-30 16:42:33.499501
18,1436,churn,2026-01-30 16:44:06.921547
19,2376,activation,2026-01-30 16:35:16.219436
20,3320,activation,2026-01-30 16:35:34.030678
21,3144,activation,2026-01-30 16:39:31.179784
22,2379,activation,2026-01-30 16:43:26.828732
23,671,churn,2026-01-30 16:40:39.777132
24,3799,churn,2026-01-30 16:46:34.360178
25,3652,activation,2026-01-30 16:37:46.287784
26,2534,activation,2026-01-30 16:41:59.570880
27,2679,churn,2026-01-30 16:36:06.915505
28,408,churn,2026-01-30 16:41:29.592129
29,506,activation,2026-01-30 16:37:51.805900
30,2313,reactivation,2026-01-30 16:45:10.649179
31,3367,activation,2026-01-30 16:35:21.382195
32,4872,reactivation,2026-01-30 16:37:36.176790
33,399,churn,2026-01-30 16:35:35.266329
34,1972,activation,2026-01-30 16:38:11.388439
35,4069,churn,2026-01-30 16:41:28.086539
36,324,reactivation,2026-01-30 16:45:23.308490
37,407,churn,2026-01-30 16:36:59.935362
38,3495,activation,2026-01-30 16:36:24.044814
39,2575,activation,2026-01-30 16:40:45.000144
40,2887,reactivation,2026-01-30 16:44:01.547487
41,1935,churn,2026-01-30 16:45:41.341992
42,3187,churn,2026-01-30 16:44:43.670703
43,386,churn,2026-01-30 16:38:45.558935
44,2050,churn,2026-01-30 16:38:26.591558
45,1236,churn,2026-01-30 16:36:14.357197
46,217,activation,2026-01-30 16:37:33.942267
47,3998,activation,2026-01-30 16:41:06.909691
48,3255,churn,2026-01-30 16:38:04.805724
49,287,churn,2026-01-30 16:36:13.842555
50,167,activation,2026-01-30 16:38:29.603438
51,4712,activation,2026-01-30 16:42:56.186785
52,3654,churn,2026-01-30 16:41:04.779589
53,4789,churn,2026-01-30 16:40:15.550219
54,4529,churn,2026-01-30 16:38:03.455455
55,1109,reactivation,2026-01-30 16:40:50.184788
56,297,reactivation,2026-01-30 16:36:10.518840
57,4823,activation,2026-01-30 16:36:59.117862
58,4183,reactivation,2026-01-30 16:40:21.362834
59,752,churn,2026-01-30 16:37:37.289132
60,4999,churn,2026-01-30 16:46:28.707448
61,1548,activation,2026-01-30 16:42:23.485415
62,1985,activation,2026-01-30 16:39:31.311461
63,2901,reactivation,2026-01-30 16:45:30.774496
64,3599,churn,2026-01-30 16:43:54.811704
65,4827,reactivation,2026-01-30 16:46:36.567761
66,4266,activation,2026-01-30 16:43:55.666474
67,2630,churn,2026-01-30 16:35:10.973226
68,1864,churn,2026-01-30 16:42:09.821229
69,2805,reactivation,2026-01-30 16:42:11.579070
70,3748,activation,2026-01-30 16:46:24.709639
71,4885,churn,2026-01-30 16:45:22.673126
72,2839,activation,2026-01-30 16:38:24.696981
73,1584,reactivation,2026-01-30 16:38:05.311796
74,2433,reactivation,2026-01-30 16:43:00.209467
75,1030,churn,2026-01-30 16:35:39.967989
76,91,churn,2026-01-30 16:39:05.838463
77,4841,reactivation,2026-01-30 16:46:22.866526
78,1238,reactivation,2026-01-30 16:46:06.619666
