notification_id,user_id,type,sent_ts,opened
1,860,reactivation,2026-01-30 16:41:03.612747,0
2,2262,new_message,2026-01-30 16:46:27.531787,0
3,3347,price_drop,2026-01-30 16:43:26.304957,1
4,3520,promo,2026-01-30 16:35:53.518222,0
5,3471,price_drop,2026-01-30 16:44:33.211264,0
6,46,price_drop,2026-01-30 16:34:55.242343,0
7,1700,promo,2026-01-30 16:39:34.147487,1
8,1275,reactivation,2026-01-30 16:38:22.666862,1
9,4215,reactivation,2026-01-30 16:41:55.285965,1
10,4956,price_drop,2026-01-30 16:44:24.672350,1
11,3294,reactivation,2026-01-30 16:35:58.516201,1
12,4844,price_drop,2026-01-30 16:45:21.733684,1
13,1950,reactivation,2026-01-30 16:45:55.492857,0
14,2078,new_message,2026-01-30 16:46:11.162021,0
15,2261,price_drop,2026-01-30 16:36:47.347309,0
16,1454,reactivation,2026-01-30 16:44:26.770042,0
17,3092,promo,2026-01-30 16:43:01.298779,1
18,2082,reactivation,2026-01-30 16:44:17.823668,1
19,916,promo,2026-01-30 16:43:59.009494,1
20,4954,promo,2026-01-30 16:39:27.847782,0
21,328,price_drop,2026-01-30 16:41:20.134673,0
22,4613,reactivation,2026-01-30 16:36:09.104485,1
23,1887,reactivation,2026-01-30 16:40:05.143751,1
24,3366,promo,2026-01-30 16:40:25.057891,0
25,3889,new_message,2026-01-30 16:39:41.745030,0
26,2633,price_drop,2026-01-30 16:38:15.816581,0
27,3511,reactivation,2026-01-30 16:36:23.875034,0
28,934,reactivation,2026-01-30 16:40:25.498981,1
29,3769,promo,2026-01-30 16:43:23.674140,0
30,2297,new_message,2026-01-30 16:38:36.763716,0
31,131,promo,2026-01-30 16:40:15.080275,1
32,3334,promo,2026-01-30 16:41:34.618290,0
33,2185,reactivation,2026-01-30 16:35:10.174225,0
34,1329,new_message,2026-01-30 16:42:25.302821,1
35,3048,promo,2026-01-30 16:38:30.472828,0
36,4173,promo,2026-01-30 16:39:18.338290,0
37,284,promo,2026-01-30 16:36:41.720323,0
38,354,price_drop,2026-01-30 16:43:53.408714,0
39,2964,new_message,2026-01-30 16:34:55.847367,0
40,1906,promo,2026-01-30 16:37:44.170371,0
41,1946,promo,2026-01-30 16:37:19.061970,1
42,4855,promo,2026-01-30 16:43:09.385282,1
43,3018,reactivation,2026-01-30 16:42:24.199499,0
44,2885,new_message,2026-01-30 16:35:03.375729,0
45,777,price_drop,2026-01-30 16:36:57.327357,0
46,2013,reactivation,2026-01-30 16:36:49.364374,0
47,4560,promo,2026-01-30 16:34:53.069098,0
48,1554,new_message,2026-01-30 16:35:25.368747,0
49,640,promo,2026-01-30 16:36:03.519608,0
50,4450,new_message,2026-01-30 16:36:12.769254,1
51,4225,reactivation,2026-01-30 16:36:45.974149,0
52,2335,reactivation,2026-01-30 16:38:00.844762,1
53,3528,price_drop,2026-01-30 16:37:38.773152,0
