purchase_id,item_id,buyer_id,price,purchase_ts
1,299,7935,111.81,2026-01-30 17:07:38.702715
2,4030,7295,85.64,2026-01-30 17:05:19.977601
3,6114,15990,173.34,2026-01-30 17:04:45.514915
4,2148,10984,157.14,2026-01-30 17:06:48.442333
5,4974,8235,59.51,2026-01-30 16:55:11.464375
6,25,899,152.64,2026-01-30 17:22:50.164226
7,6560,13926,143.58,2026-01-30 17:38:18.321563
8,2218,10785,184.29,2026-01-30 17:28:26.611493
9,3965,1727,82.13,2026-01-30 17:23:08.539116
10,1821,18212,104.98,2026-01-30 17:34:16.224892
11,1363,12940,141.16,2026-01-30 16:50:58.272444
12,3970,8217,193.07,2026-01-30 17:42:19.663195
13,272,5660,148.9,2026-01-30 17:29:08.623148
14,689,13717,150.14,2026-01-30 17:10:24.894657
15,6171,9358,78.51,2026-01-30 17:09:09.236919
16,1617,3903,166.35,2026-01-30 16:46:26.207872
17,5591,11334,35.04,2026-01-30 17:02:05.779131
18,5396,14605,15.33,2026-01-30 17:10:33.783059
19,2709,9811,34.54,2026-01-30 16:54:23.321418
20,392,6622,183.81,2026-01-30 17:15:09.873927
21,5744,8257,125.51,2026-01-30 17:38:27.262210
22,4399,2049,139.93,2026-01-30 16:49:20.505045
23,1933,10846,146.14,2026-01-30 17:15:05.279906
24,2073,3754,104.71,2026-01-30 16:54:35.160269
25,4608,19577,103.93,2026-01-30 17:17:28.814207
26,1995,2162,28.26,2026-01-30 16:58:02.827407
27,1484,12851,88.09,2026-01-30 17:37:27.956904
28,5921,17408,86.29,2026-01-30 16:52:14.161125
29,1711,10364,187.03,2026-01-30 17:27:08.198639
30,3790,10146,18.1,2026-01-30 16:45:22.054834
31,2983,12812,135.17,2026-01-30 17:02:38.451876
32,1285,13759,118.39,2026-01-30 16:56:32.585310
33,4309,17995,101.43,2026-01-30 17:21:26.997470
34,7259,15636,99.32,2026-01-30 17:02:40.568659
35,7422,9558,174.57,2026-01-30 16:59:54.201792
36,6447,3971,132.48,2026-01-30 16:57:27.947203
37,3460,12187,191.74,2026-01-30 17:36:53.423896
38,257,11251,68.76,2026-01-30 17:01:35.211209
39,3086,19916,14.82,2026-01-30 16:48:49.775288
40,3867,7509,40.17,2026-01-30 16:52:21.271124
41,1230,15913,87.85,2026-01-30 16:52:32.417186
42,1675,18348,88.99,2026-01-30 17:43:12.026947
43,1016,19675,102.97,2026-01-30 16:52:27.741004
44,570,7099,139.19,2026-01-30 17:30:05.508461
45,125,19086,196.91,2026-01-30 17:15:07.346366
46,5972,12756,155.46,2026-01-30 16:48:45.386397
47,7856,14643,73.33,2026-01-30 17:09:48.978271
48,6656,13879,15.84,2026-01-30 17:33:21.241188
49,1263,9799,8.15,2026-01-30 16:54:58.183400
50,7107,10708,146.39,2026-01-30 17:19:48.632289
51,5832,9123,36.31,2026-01-30 16:46:27.653260
52,21,11861,184.78,2026-01-30 17:36:29.677605
53,4735,2723,83.17,2026-01-30 17:24:16.137557
54,5778,15354,90.85,2026-01-30 17:23:20.464842
55,826,12486,75.04,2026-01-30 17:36:35.281350
56,7074,2988,143.99,2026-01-30 17:10:06.543536
57,5095,14753,143.18,2026-01-30 16:51:16.729806
58,3266,18252,151.28,2026-01-30 17:05:08.237988
59,4268,4819,143.96,2026-01-30 17:11:08.538979
60,2120,15766,104.41,2026-01-30 17:25:57.856647
61,1514,5193,12.8,2026-01-30 17:34:36.531625
62,5854,15501,180.74,2026-01-30 17:11:29.997692
63,6834,11882,105.79,2026-01-30 16:50:46.455765
64,914,9333,71.24,2026-01-30 17:03:55.144157
65,7338,845,58.83,2026-01-30 16:53:25.765852
66,2834,7012,111.13,2026-01-30 17:12:41.360508
67,3984,14344,169.27,2026-01-30 17:28:54.894519
68,61,15845,9.0,2026-01-30 16:48:08.946145
69,6693,11850,184.5,2026-01-30 17:23:26.274616
70,1267,13707,15.47,2026-01-30 17:04:08.013151
71,484,7401,34.15,2026-01-30 17:25:12.115754
72,4434,16594,50.93,2026-01-30 17:11:24.269512
73,1704,3179,131.56,2026-01-30 17:21:12.961713
74,7949,3562,80.38,2026-01-30 16:48:11.271497
75,4388,12762,65.88,2026-01-30 17:17:53.103302
76,6534,17497,111.52,2026-01-30 16:52:32.048018
77,1923,12641,88.12,2026-01-30 17:21:12.962031
78,3348,2430,157.61,2026-01-30 16:57:42.954827
79,4969,17113,144.59,2026-01-30 17:35:26.807550
80,7744,9613,105.71,2026-01-30 17:20:47.958335
81,4539,16415,187.75,2026-01-30 17:31:38.941500
82,4603,9319,88.64,2026-01-30 16:46:09.565511
83,4607,7539,130.34,2026-01-30 16:40:05.749045
84,320,12937,151.41,2026-01-30 16:50:07.227545
85,6460,13088,88.4,2026-01-30 17:31:00.290252
86,185,18271,122.3,2026-01-30 17:14:13.577939
87,2397,3499,127.77,2026-01-30 17:19:51.764982
88,3396,1283,118.8,2026-01-30 16:42:33.596624
89,6959,4423,111.22,2026-01-30 17:42:09.242917
90,5110,19146,158.05,2026-01-30 17:18:43.361463
91,6273,10431,165.66,2026-01-30 17:23:01.618022
92,1084,5465,172.87,2026-01-30 16:55:07.075284
93,6016,4115,15.78,2026-01-30 17:05:36.487308
94,7231,16046,143.92,2026-01-30 16:54:55.324593
95,5339,2430,76.59,2026-01-30 17:16:40.954827
96,6953,12375,65.64,2026-01-30 17:29:11.519286
97,1586,17225,108.76,2026-01-30 17:08:42.134160
98,3882,10856,73.15,2026-01-30 16:50:52.056960
99,6938,14027,146.29,2026-01-30 17:30:42.976112
100,2986,12671,177.36,2026-01-30 16:54:47.067455
101,5760,5754,29.03,2026-01-30 16:48:48.128719
102,3530,10670,145.35,2026-01-30 17:20:49.844361
103,4591,3231,166.65,2026-01-30 17:00:55.832086
104,7038,2355,127.89,2026-01-30 17:39:38.469850
105,7145,5602,72.46,2026-01-30 17:40:27.922825
106,7709,8411,86.22,2026-01-30 17:39:08.096672
107,7142,7564,123.47,2026-01-30 17:37:56.584501
108,5310,1024,90.29,2026-01-30 17:09:59.192523
109,7107,4546,146.39,2026-01-30 17:15:16.032929
110,1755,19668,69.87,2026-01-30 16:48:53.890918
111,7605,10814,136.6,2026-01-30 17:02:25.412701
112,3691,10608,145.64,2026-01-30 16:58:36.184308
113,2391,14201,179.69,2026-01-30 17:01:14.780283
114,7413,11309,133.86,2026-01-30 16:37:50.867293
115,5785,10977,97.51,2026-01-30 17:26:17.429755
116,7536,14717,51.43,2026-01-30 16:52:22.188718
117,1406,18223,61.03,2026-01-30 16:52:39.713028
118,1946,6609,154.06,2026-01-30 16:44:16.653764
119,3657,981,156.54,2026-01-30 17:33:22.305878
120,7227,3257,36.18,2026-01-30 17:39:34.084760
121,4444,1839,73.28,2026-01-30 17:10:27.269434
122,186,7545,76.18,2026-01-30 17:37:45.796835
123,7020,479,99.61,2026-01-30 17:15:29.670238
124,5733,19609,55.85,2026-01-30 17:02:27.710380
125,1215,9703,57.13,2026-01-30 16:48:02.214255
126,7046,15756,44.0,2026-01-30 17:04:18.445632
127,4802,13356,111.47,2026-01-30 16:50:37.475313
128,2445,12550,189.59,2026-01-30 17:00:19.883601
129,478,10729,175.61,2026-01-30 16:49:54.844686
130,5071,16162,161.92,2026-01-30 17:06:09.005682
131,1235,6876,112.51,2026-01-30 17:37:31.660921
132,619,16072,108.18,2026-01-30 16:56:01.593834
133,7026,12052,36.31,2026-01-30 17:25:48.296905
134,4258,14350,165.27,2026-01-30 17:13:50.421623
135,1636,17427,37.74,2026-01-30 17:07:19.272446
136,4174,440,151.46,2026-01-30 16:43:38.540406
137,7924,6142,122.03,2026-01-30 17:01:11.500914
138,4800,16757,146.62,2026-01-30 16:52:10.885330
139,2531,555,8.29,2026-01-30 17:14:37.912911
140,6625,10874,182.19,2026-01-30 17:33:37.386215
141,3504,3242,90.49,2026-01-30 17:06:49.346761
142,239,17768,62.46,2026-01-30 16:55:16.269041
143,1389,9197,39.76,2026-01-30 16:37:54.184110
