user_id,signup_ts,country,is_seller,marketing_opt_in
1,2025-05-12 07:22:27.340521,AR,0,1
2,2025-07-25 21:45:28.703178,HN,1,0
3,2024-07-12 06:28:26.672255,LK,0,0
4,2024-04-15 02:08:48.431436,SZ,0,1
5,2025-11-12 22:30:52.165312,BT,0,1
6,2025-04-06 13:28:54.650662,AU,0,1
7,2024-02-21 23:38:27.974683,GM,1,0
8,2024-07-19 04:08:58.780511,UY,0,0
9,2024-02-19 14:27:59.179635,FJ,0,0
10,2025-07-07 06:09:45.791629,ME,0,0
11,2025-03-04 06:54:10.877690,GN,0,0
12,2024-12-24 08:34:04.564783,IT,0,0
13,2025-09-13 11:47:48.463483,AF,0,1
14,2025-08-07 12:17:49.518738,DJ,0,0
15,2025-06-24 04:41:43.157686,LV,0,0
16,2024-08-21 04:45:27.142196,GM,0,0
17,2025-12-30 10:39:02.430757,LU,0,1
18,2024-04-14 21:09:07.425248,MU,1,1
19,2024-04-10 20:50:08.341220,LY,0,0
20,2025-04-16 05:29:07.976345,BD,0,0
21,2025-07-17 06:33:28.687010,SO,0,0
22,2024-05-01 09:38:34.534103,MT,0,1
23,2024-03-28 18:44:16.095019,KE,0,1
24,2025-09-28 01:58:30.054001,VN,0,0
25,2025-11-08 00:33:56.100761,ML,0,0
26,2025-03-27 23:06:40.453803,MA,1,1
27,2024-03-22 00:39:28.937743,HR,1,1
28,2024-07-15 16:39:13.439182,JP,0,1
29,2026-01-19 21:40:52.858020,HT,0,0
30,2025-10-25 04:01:34.640216,MU,0,0
31,2024-08-21 06:33:01.216628,ZW,0,0
32,2025-10-01 12:28:27.056699,DK,1,0
33,2024-10-27 15:05:08.103064,GE,0,0
34,2025-06-03 18:26:24.103182,ME,0,1
35,2025-12-15 10:13:45.095264,KH,0,1
36,2024-03-23 09:02:42.289016,ZW,1,0
37,2024-06-04 05:34:16.281168,ZA,0,1
38,2024-07-28 01:09:29.469839,PL,1,1
39,2024-11-03 09:40:52.398619,DZ,1,0
40,2025-06-16 21:46:32.495046,GN,0,0
41,2025-06-14 07:34:44.360651,BG,1,1
42,2024-07-16 12:48:41.076560,AU,0,0
43,2025-09-10 06:55:37.605692,MZ,0,0
44,2024-08-13 19:09:18.279148,GH,1,1
45,2025-11-28 05:54:53.205973,TN,1,0
46,2025-11-01 09:18:25.655089,KW,0,1
47,2024-07-04 12:55:01.434618,SB,1,0
48,2024-11-15 05:16:44.909899,BA,1,0
49,2024-12-31 09:37:15.550423,IN,0,0
50,2024-05-12 05:10:56.261724,CH,0,0
51,2025-03-16 06:53:14.017198,IN,0,1
52,2025-07-29 21:32:17.285328,NP,0,0
53,2025-11-17 01:27:01.425204,MZ,1,0
54,2024-10-21 15:35:54.414418,CU,0,1
55,2025-02-06 10:01:15.469213,BW,0,0
56,2025-08-05 07:15:38.037605,CG,0,0
57,2024-05-21 20:47:28.329129,DJ,1,1
58,2025-08-31 19:36:20.784500,NO,0,1
59,2025-04-10 21:12:26.661649,MV,1,0
60,2024-11-04 23:37:00.153590,PT,1,0
61,2025-02-20 17:25:45.404213,TG,1,1
62,2025-10-21 00:01:37.635145,AG,0,0
63,2025-06-11 03:39:09.965289,CI,0,0
64,2025-06-12 04:40:10.287668,SO,1,1
65,2025-08-01 17:16:46.979947,BA,0,0
66,2024-10-05 17:02:37.192232,KE,0,0
67,2024-12-13 19:20:46.474678,PH,0,0
68,2024-02-02 14:08:45.166918,WS,1,0
69,2025-11-01 00:17:02.028677,IN,0,1
70,2026-01-10 03:55:34.315172,EE,0,1
71,2025-02-05 01:40:55.155053,CD,1,0
72,2025-10-28 02:45:51.382873,KG,0,0
73,2025-10-07 00:59:36.839141,SD,0,0
74,2025-04-20 01:25:26.388437,DE,0,0
75,2024-10-30 08:31:43.465924,DK,0,0
76,2025-02-28 05:23:05.314842,SM,1,0
77,2025-12-02 03:50:15.440725,US,0,0
78,2024-09-24 00:11:56.227395,AM,1,0
79,2024-04-21 22:27:42.549744,ML,0,1
80,2025-11-03 02:34:50.631781,KP,0,1
81,2024-07-24 03:12:48.683856,GY,0,1
82,2025-11-02 14:05:36.255095,BR,0,0
83,2024-04-02 18:53:08.748789,RU,0,1
84,2025-09-18 07:22:42.756078,PS,0,0
85,2025-02-23 08:23:57.914828,CN,0,0
86,2024-05-04 00:08:53.099745,PY,0,0
87,2025-12-22 20:56:49.634798,DM,0,0
88,2024-08-11 20:05:46.129023,UZ,0,0
